Plant Type,Month,Images
Poison Ivy,1,0
Poison Ivy,2,0
Poison Ivy,3,0
Poison Ivy,4,0
Poison Ivy,5,0
Poison Ivy,6,16
Poison Ivy,7,108
Poison Ivy,8,100
Poison Ivy,9,26
Poison Ivy,10,0
Poison Ivy,11,0
Poison Ivy,12,0
Virginia Creeper,1,0
Virginia Creeper,2,0
Virginia Creeper,3,0
Virginia Creeper,4,0
Virginia Creeper,5,2
Virginia Creeper,6,0
Virginia Creeper,7,0
Virginia Creeper,8,5
Virginia Creeper,9,242
Virginia Creeper,10,1
Virginia Creeper,11,0
Virginia Creeper,12,0
Bramble,1,0
Bramble,2,0
Bramble,3,0
Bramble,4,4
Bramble,5,47
Bramble,6,49
Bramble,7,73
Bramble,8,52
Bramble,9,25
Bramble,10,0
Bramble,11,0
Bramble,12,0
Box Elder,1,0
Box Elder,2,0
Box Elder,3,0
Box Elder,4,3
Box Elder,5,0
Box Elder,6,2
Box Elder,7,3
Box Elder,8,9
Box Elder,9,233
Box Elder,10,0
Box Elder,11,0
Box Elder,12,0
